Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Feb,707.183,927.290,1173.325,1954.262,2023.687,3044.236,1499.243
,,,,,,,,,,Mar,853.178,1087.797,1411.420,2034.938,2276.323,3092.041,1736.045
,,,,,,,,,,Apr,866.881,1175.580,1503.126,2107.443,2346.440,3162.753,1815.938
,,,,,,,,,,May,1875.854,2140.231,2424.599,2818.241,2631.620,2942.987,2164.174
,,,,,,,,,,Jun,1551.935,1821.853,2079.005,2595.302,2766.402,2991.827,2098.081
,,,,,,,,,,Jul,4225.810,3204.284,4526.038,3683.071,3235.502,2944.602,2513.374
,,,,,,,,,,Aug,11370.064,11257.211,11370.318,5670.303,3998.264,2882.401,2893.352
,,,,,,,,,,Sep,2290.827,2397.092,2316.057,3130.706,2428.738,2892.558,1847.704
,,,,,,,,,,Oct,777.636,1023.123,1016.168,1891.489,1509.378,2988.177,1009.870
,,,,,,,,,,Nov,775.414,942.238,910.438,1146.244,793.195,2977.231,535.426
,,,,,,,,,,Dec,723.860,870.766,918.633,1330.880,1100.301,2927.393,790.064
,,,,,,,,,2018,Jan,641.767,813.128,877.704,1260.756,1077.319,2957.510,762.011
,,,,,,,,,,Feb,650.377,840.867,1007.439,1610.553,1545.386,3020.013,1143.886
,,,,,,,,,,Mar,698.256,924.286,1125.363,1784.654,1717.038,3068.476,1258.726
,,,,,,,,,,Apr,882.852,1169.197,1377.237,2092.977,1977.619,3100.214,1497.381
,,,,,,,,,,May,1116.637,1392.171,1612.440,2216.017,2145.662,3084.946,1629.409
,,,,,,,,,,Jun,16763.361,15688.260,16868.697,13369.264,5751.755,2892.562,4273.433
,,,,,,,,,,Sep,1615.867,1656.267,1830.358,2741.164,2067.759,2983.385,1414.263
,,,,,,,,,,Oct,690.958,918.158,1011.659,1868.072,1621.104,3051.796,1081.429
,,,,,,,,,,Nov,668.866,891.135,1014.703,1780.762,1595.432,3034.876,1107.867
,,,,,,,,,,Dec,1024.210,1196.629,1305.074,2155.300,1711.726,2904.795,1241.946
,,,,,,,,,2019,Jan,1536.846,1724.106,1881.565,2654.919,1962.746,2850.243,1502.122
,,,,,,,,,,Feb,786.435,993.011,1182.011,2082.333,1898.772,3018.744,1382.152
,,,,,,,,,,Mar,786.022,1037.099,1272.966,2223.280,2026.056,3071.582,1480.449
,,,,,,,,,,Apr,882.834,1165.365,1437.147,2210.131,2260.479,3118.032,1699.291
,,,,,,,,,,May,896.398,1204.891,1492.367,2200.246,2251.499,3127.298,1698.031
,,,,,,,,,,Jun,1309.135,1601.767,1894.440,2426.092,2535.829,3063.568,2006.019
,,,,,,,,,,Jul,19431.540,17984.712,19212.493,10686.926,5528.716,2845.270,3698.540
,,,,,,,,,,Aug,8130.596,7644.909,8016.741,4981.253,4249.249,2640.062,2354.716
,,,,,,,,,,Sep,1034.447,1194.827,1034.080,1386.770,772.943,2929.906,473.759
,,,,,,,,,,Oct,803.163,1024.615,923.127,1808.903,1225.497,2942.902,791.697
,,,,,,,,,,Nov,1582.039,1756.581,1690.337,2414.363,1737.495,2905.963,1206.708
,,,,,,,,,,Dec,786.572,943.033,930.120,1480.292,1171.332,2923.705,786.998
