Quarters,(All),,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Nov,642.458,765.5265,806.6545,2155.068,1660.364,2998.157,1060.8805
,,,,,,,,,,Dec,657.332,789.6385,860.9975,1990.391,1731.1065,2959.1855,1188.037
,,,,,,,,,2019,Jan,623.1295,778.1475,856.464,2047.104,1691.253,2941.6865,1173.1245
,,,,,,,,,,Feb,982.02,1124.864,1146.236,2387.382,1790.111,2963.583,1217.935
,,,,,,,,,,Mar,611.4885,806.856,893.277,2199.7485,1727.58,2989.3695,1168.3525
,,,,,,,,,,Apr,771.8255,990.047,1107.449,2476.792,2042.233,3046.498,1395.7715
,,,,,,,,,,May,741.08,999.369,1139.176,2510.8425,2085.5875,3048.487,1415.3225
,,,,,,,,,,Jun,819.056,1049.26,1267.367,2509.378,2359.592,3061.138,1668.832
,,,,,,,,,,Jul,983.8,1098.662,1070.246,2328.246,1762.923,2975.569,1109.585
,,,,,,,,,,Aug,1595.923,1723.579,1680.236,2716.036,1990.826,2924.046,1368.097
,,,,,,,,,,Oct,430.995,582.94,540.809,2461.231,1329.638,3008.472,743.593
,,,,,,,,,,Nov,810.9145,900.3265,858.5695,2250.027,1571.0295,2980.873,906.0655
,,,,,,,,,,Dec,604.186,765.075,782.032,2038.572,1596.727,2940.3545,1052.0195
