system:time_start,B1,B2,B3,B4,B5,B6,B7
"Mar 1, 2019","1,051.167","1,277.333","1,549","1,983.5","2,147.667","3,002.667","1,884.333"
"Mar 17, 2019","1,087","1,328","1,608","2,071","2,222","3,053","1,969"
"Apr 2, 2019","1,011.739","1,273.174","1,510.13","2,158.087","2,154.13","3,081.043","1,837.435"
"Apr 18, 2019","1,255.034","1,606.483","1,870.379","2,357.207","2,462.552","3,058.586","2,121.724"
"May 4, 2019","1,171.125","1,459.167","1,745.667","2,301.417","2,374.292","3,071.625","2,030.958"
"May 20, 2019","1,120","1,462","1,679","2,202","2,176","3,060","1,812"
"Jun 5, 2019","1,271","1,567","1,916","2,480","2,611","3,089","2,277"
"Aug 24, 2019","2,403.5","2,576.833","2,777.333","3,675.667","3,242.333","2,968.667","2,442.833"
"Sep 25, 2019","1,478","1,682","1,732","2,480","2,090","2,901","1,532"
"Oct 11, 2019","1,004.462","1,201.077","1,379.308","2,234.846","2,105.346","3,030.192","1,721.462"
"Nov 12, 2019","1,083.87","1,208.739","1,326.261","2,222.348","1,917","3,000.739","1,519.522"
"Nov 28, 2019","1,341","1,491.333","1,537.167","2,121.667","1,947.5","2,990.333","1,597.167"
"Dec 14, 2019",876,"1,109","1,191","1,715","1,598","2,969","1,322"
"Dec 30, 2019",963,"1,173","1,235","1,860","1,632","2,934","1,343"
