system:time_start,B1,B2,B3,B4,B5,B6,B7,,,Quarters,(All),,,,,,,,,,,,,,,
20-Apr-14,"1,052.72","1,257.66","1,366.68","1,577.60","1,608.85","3,051.87","1,392.08",,,,Feb,848.5356667,1002.627,1070.122,1201.771667,1135.564,3009.524667,1018.03,,,,,,,,
27-Apr-14,990.184,"1,232.81","1,358.24","1,589.12","1,669.82","3,086.15","1,486.61",,,,Mar,851.0815,1031.59125,1141.43225,1396.2355,1344.80125,3053.4135,1209.52275,,,,,,,,
06-May-14,"1,118.80","1,291.91","1,455.57","1,740.92","1,766.23","3,057.50","1,525.29",,,,Apr,1151.552,1364.119,1518.274667,1970.633,1922.008333,3010.946333,1707.414,,,,,,,,
13-May-14,"1,039.19","1,297.77","1,417.72","1,621.43","1,666.77","3,056.13","1,470.80",,,,May,1107.978,1376.050667,1600.148333,2070.950333,2184.886,3146.57,1948.382333,,,,,,,,
22-May-14,942.969,"1,192.82","1,296.16","1,468.39","1,493.75","3,107.67","1,342.55",,,,Jun,1318.465,1626.256,1849.837,2228.407,2303.593,3059.267,1951.453,,,,,,,,
29-May-14,"1,110.16","1,390.19","1,483.41","1,648.02","1,629.19","3,064.15","1,417.27",,,,Sep,882.604,1120.657,1234.222,1744.285,1710.333,3075.203,1505.966,,,,,,,,
07-Jun-14,"2,159.68","2,269.12","2,527.72","3,054.14","3,330.99","2,841.02","2,977.17",,,,Oct,873.2235,1037.4125,1131.4385,1543.50775,1451.4315,3054.3425,1236.881,,,,,,,,
30-Jun-14,"1,232.29","1,402.23","1,479.11","1,669.81","1,520.90","2,983.67","1,272.51",,,,Nov,1068.703333,1243.305333,1385.949333,1972.736333,1966.040667,3040.696667,1644.994333,,,,,,,,
13-Oct-14,672.333,758.294,776.039,977.275,841.775,"3,038.92",733.167,,,,Dec,1327.31875,1533.4835,1738.037,2502.1335,2453.2165,2924.787,1910.624,,,,,,,,
29-Oct-14,"2,183.52","2,295.86","2,336.22","2,715.88","2,519.70","2,863.07","2,268.73",,,2019,Jan,971.395,1200.167,1421.028,1948.25625,2104.0935,2994.4885,1809.1595,,,,,,,,
05-Nov-14,700.957,851.594,904.652,"1,101.39","1,087.83","3,038.16",971.725,,,,Feb,1404.945667,1491.456,1623.030667,1947.873,1988.274667,2988.133667,1709.232,,,,,,,,
14-Nov-14,"1,310.53","1,254.17","1,282.46","1,498.54","1,114.87","2,886.48",874.892,,,,Mar,1047.08475,1308.4445,1592.72125,2173.0825,2363.5145,3063.39975,2000.698,,,,,,,,
21-Nov-14,"1,094.02","1,216.12","1,237.47","1,491.48","1,337.42","2,937.39","1,164.68",,,,Apr,1046.90725,1380.65175,1720.98075,2352.1415,2634.38075,3141.9425,2201.59175,,,,,,,,
30-Nov-14,962.751,"1,044.79","1,013.58","1,185.71","1,012.62","2,977.23",858.985,,,,May,1141.22225,1461.6835,1768.33175,2271.173,2496.51475,3112.82725,2108.8845,,,,,,,,
07-Dec-14,673.478,843.542,836.502,980.597,883.582,"2,974.30",786.005,,,,Jun,2894.697,3108.5085,3341.806,3882.9775,2451.523,2751.6905,2090.497,,,,,,,,
16-Dec-14,758.716,838,870.755,"1,042.84",959.667,"2,946.78",845.172,,,,Jul,2404.278,2258.732,2421.644,2633.849,2184.132,2946.683,1594.132,,,,,,,,
23-Dec-14,936.995,"1,100.72","1,163.39","1,326.22","1,356.51","2,968.66","1,241.42",,,,Aug,1259.9865,1366.2195,1267.3145,1547.9225,1096.4385,2907.2595,828.357,,,,,,,,
08-Jan-15,758.421,915.243,932.495,"1,047.02","1,018.01","2,960.43",902.54,,,,Oct,621.089,741.064,658.402,902.625,586.145,3007.375,447.7335,,,,,,,,
17-Jan-15,815.764,900.61,980.446,"1,184.91","1,153.31","2,951.22","1,032.36",,,,Nov,995.663,1030.023,978.808,1176.494,804.5766667,2979.652333,595.056,,,,,,,,
24-Jan-15,971.077,"1,111.13","1,109.43","1,198.76","1,015.48","2,910.30",850.193,,,,Dec,1019.203,1126.344,1103.05125,1256.267,1060.583,2890.631,896.30875,,,,,,,,
