Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,,Jun,1458.537,1727.763,1859.818,2346.516,2029.839,3007.751,1533.872
,,,,,,,,,,Jul,10181.821,8638.872,10076.581,5920.469,4643.039,2877.078,3647.559
,,,,,,,,,,Sep,1330.593,1557.815,1620.353,2399.319,2025.793,2971.483,1521.835
,,,,,,,,,,Oct,802.294,966.774,994.197,1504.010,1234.673,3032.057,942.522
,,,,,,,,,,Nov,806.975,996.693,1076.707,1553.729,1430.528,3014.381,1135.501
,,,,,,,,,,Dec,927.124,1100.045,1179.126,1635.702,1522.599,2947.614,1217.275
,,,,,,,,,2019,Jan,947.733,1119.351,1189.274,1514.794,1401.368,2922.694,1120.438
,,,,,,,,,,Feb,933.466,1148.869,1276.926,1677.164,1654.493,2973.688,1341.204
,,,,,,,,,,Mar,909.193,1150.826,1319.423,1805.597,1784.849,3048.931,1452.244
,,,,,,,,,,Apr,1326.331,1510.467,1619.565,2054.202,1920.411,2986.646,1443.233
,,,,,,,,,,May,1088.285,1404.344,1585.012,2082.713,2031.588,3072.181,1623.485
,,,,,,,,,,Jun,1867.453,2196.166,2408.835,2891.887,2789.766,3025.850,2301.733
,,,,,,,,,,Jul,1592.933,1813.525,1928.799,2404.022,2059.553,2927.966,1537.827
,,,,,,,,,,Aug,1581.602,1799.469,1857.065,2514.952,1921.591,2787.348,1468.373
,,,,,,,,,,Sep,1694.171,1888.583,1938.990,2484.920,2163.483,2953.937,1685.515
,,,,,,,,,,Oct,934.834,1130.917,1193.005,1780.074,1561.580,3003.246,1219.600
,,,,,,,,,,Nov,1406.638,1506.565,1502.142,1957.221,1647.155,2964.914,1254.978
,,,,,,,,,,Dec,677.710,827.353,766.748,1006.877,762.765,2921.554,577.567
