Quarters,(All),,,,,,,,,,,,,,,,
Years,2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7,,,Row Labels,Average of B1,Average of B2,Average of B3,Average of B4,Average of B5,Average of B6,Average of B7
,,,,,,,,,2019,Jan,1013,1250.75,1436.75,2200,2176,2961.75,1756.75
,,,,,,,,,,Feb,1454,1622.555667,1759,2187.889,2111.111,2950.555667,1727.111
,,,,,,,,,,Mar,1152.75,1444.5,1713.25,2397,2469.75,3029.75,2068.25
,,,,,,,,,,Apr,1230.25,1590,1873.75,2706.25,2750,3097.25,2311.75
,,,,,,,,,,May,1224.25,1607.25,1888.75,2845,2818.25,3079.25,2261.75
,,,,,,,,,,Jun,3053,3313,3551,4237,2620,2730.5,2199.5
,,,,,,,,,,Jul,2508,2641,2693,3246,2806,2945,2005
,,,,,,,,,,Aug,1414.6665,1669.8335,1750.5,2867.6665,2365.8335,2939.6665,1683.6665
,,,,,,,,,,Oct,1016,1271.5,1425.5,2493.5,2303,3041,1782.5
,,,,,,,,,,Nov,1334.333333,1498.666667,1608,2374.333333,2247.333333,2992,1761.333333
,,,,,,,,,,Dec,1104.5,1315.25,1425.66675,2087.25,1945.08325,2927.5,1549.83325
